Day,Prediction,Actual,Prev_Actual,Signal,Action,Portfolio Value
249,312.21222,0.56018525,0.5644717,buy,hold,90.32393479607569
250,312.21222,0.5644717,0.56018525,buy,hold,91.01507943136669
251,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
252,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
253,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
254,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
255,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
256,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
257,312.21222,0.5687582,0.5644717,buy,hold,91.70623212862778
258,312.21222,0.57304466,0.5687582,buy,hold,92.39737837631277
259,312.21222,0.5687582,0.57304466,buy,hold,91.70623212862778
260,312.21222,0.57304466,0.5687582,buy,hold,92.39737837631277
261,312.2165,0.5687582,0.57304466,buy,hold,91.70623212862778
262,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
263,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
264,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
265,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
266,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
267,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
268,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
269,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
270,312.21222,0.5644717,0.5687582,buy,hold,91.01507943136669
271,312.21222,0.5687582,0.5644717,buy,hold,91.70623212862778
272,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
273,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
274,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
275,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
276,312.21222,0.5644717,0.5687582,buy,hold,91.01507943136669
277,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
278,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
279,312.20795,0.5644717,0.5644717,buy,hold,91.01507943136669
280,312.21222,0.5687582,0.5644717,buy,hold,91.70623212862778
281,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
282,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
283,312.21222,0.56018525,0.5687582,buy,hold,90.32393479607569
284,312.20364,0.5644717,0.56018525,buy,hold,91.01507943136669
285,312.21222,0.5687582,0.5644717,buy,hold,91.70623212862778
286,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
287,312.21222,0.5644717,0.5687582,buy,hold,91.01507943136669
288,312.20795,0.5644717,0.5644717,buy,hold,91.01507943136669
289,312.21222,0.5516123,0.5644717,buy,hold,88.94163746352363
290,312.20364,0.5516123,0.5516123,buy,hold,88.94163746352363
291,312.19937,0.5773311,0.5516123,buy,hold,93.08852139920974
292,312.21222,0.57304466,0.5773311,buy,hold,92.39737837631277
293,312.21222,0.56018525,0.57304466,buy,hold,90.32393479607569
294,312.21222,0.56018525,0.56018525,buy,hold,90.32393479607569
295,312.20795,0.56018525,0.56018525,buy,hold,90.32393479607569
296,312.20795,0.56018525,0.56018525,buy,hold,90.32393479607569
297,312.20364,0.56018525,0.56018525,buy,hold,90.32393479607569
298,312.20364,0.5558988,0.56018525,buy,hold,89.63279016078472
299,312.20364,0.5516123,0.5558988,buy,hold,88.94163746352363
300,312.19937,0.5516123,0.5516123,buy,hold,88.94163746352363
301,312.19937,0.5558988,0.5516123,buy,hold,89.63279016078472
302,312.20364,0.56018525,0.5558988,buy,hold,90.32393479607569
303,312.20795,0.5644717,0.56018525,buy,hold,91.01507943136669
304,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
305,312.20795,0.5644717,0.5644717,buy,hold,91.01507943136669
306,312.20795,0.5644717,0.5644717,buy,hold,91.01507943136669
307,312.20795,0.5644717,0.5644717,buy,hold,91.01507943136669
308,312.20795,0.5687582,0.5644717,buy,hold,91.70623212862778
309,312.21222,0.5773311,0.5687582,buy,hold,93.08852139920974
310,312.2208,0.5816176,0.5773311,buy,hold,93.77967409647083
311,312.2208,0.5773311,0.5816176,buy,hold,93.08852139920974
312,312.2208,0.5773311,0.5773311,buy,hold,93.08852139920974
313,312.22507,0.5816176,0.5773311,buy,hold,93.77967409647083
314,312.22507,0.5773311,0.5816176,buy,hold,93.08852139920974
